iter	Passed	Remaining
1202	6304	1556
1203	6309	1551
1204	6314	1545
1205	6318	1540
1206	6322	1534
1207	6328	1529
1208	6333	1524
1209	6338	1519
1210	6340	1513
1211	6346	1508
1212	6351	1502
1213	6356	1497
1214	6361	1492
1215	6365	1486
1216	6371	1481
1217	6375	1476
1218	6381	1470
1219	6386	1465
1220	6391	1460
1221	6396	1455
1222	6401	1449
1223	6406	1444
1224	6411	1439
1225	6417	1434
1226	6422	1428
1227	6427	1423
1228	6432	1418
1229	6437	1413
1230	6442	1407
1231	6448	1402
1232	6453	1397
1233	6456	1391
1234	6462	1386
1235	6467	1381
1236	6472	1376
1237	6477	1370
1238	6483	1365
1239	6489	1360
1240	6495	1355
1241	6500	1350
1242	6505	1345
1243	6510	1339
1244	6515	1334
1245	6520	1329
1246	6525	1324
1247	6528	1318
1248	6533	1313
1249	6538	1307
1250	6543	1302
1251	6549	1297
1252	6554	1292
1253	6559	1286
1254	6562	1281
1255	6567	1275
1256	6573	1270
1257	6578	1265
1258	6584	1260
1259	6589	1255
1260	6592	1249
1261	6597	1244
1262	6602	1239
1263	6608	1233
1264	6613	1228
1265	6618	1223
1266	6624	1218
1267	6629	1212
1268	6634	1207
1269	6639	1202
1270	6644	1197
1271	6649	1191
1272	6654	1186
1273	6660	1181
1274	6665	1176
1275	6670	1171
1276	6675	1165
1277	6680	1160
1278	6686	1155
1279	6691	1150
1280	6695	1144
1281	6700	1139
1282	6705	1134
1283	6710	1128
1284	6715	1123
1285	6720	1118
1286	6726	1113
1287	6731	1107
1288	6737	1102
1289	6742	1097
1290	6748	1092
1291	6753	1087
1292	6758	1081
1293	6761	1076
1294	6766	1071
1295	6771	1065
1296	6777	1060
1297	6782	1055
1298	6787	1050
1299	6792	1045
1300	6797	1039
1301	6802	1034
1302	6807	1029
1303	6812	1024
1304	6818	1018
1305	6823	1013
1306	6828	1008
1307	6834	1003
1308	6839	997
1309	6842	992
1310	6847	987
1311	6853	982
1312	6858	976
1313	6863	971
1314	6866	965
1315	6871	960
1316	6876	955
1317	6881	950
1318	6886	945
1319	6891	939
1320	6895	934
1321	6900	929
1322	6905	923
1323	6910	918
1324	6916	913
1325	6921	908
1326	6926	903
1327	6931	897
1328	6937	892
1329	6942	887
1330	6948	882
1331	6951	876
1332	6956	871
1333	6959	866
1334	6962	860
1335	6966	855
1336	6969	849
1337	6974	844
1338	6979	839
1339	6985	834
1340	6991	828
1341	6994	823
1342	6999	818
1343	7005	813
1344	7009	807
1345	7014	802
1346	7019	797
1347	7025	792
1348	7030	786
1349	7035	781
1350	7041	776
1351	7046	771
1352	7051	766
1353	7055	760
1354	7060	755
1355	7065	750
1356	7070	745
1357	7076	739
1358	7078	734
1359	7084	729
1360	7089	724
1361	7095	718
1362	7100	713
1363	7105	708
1364	7110	703
1365	7114	697
1366	7119	692
1367	7124	687
1368	7130	682
1369	7135	677
1370	7142	672
1371	7147	666
1372	7152	661
1373	7156	656
1374	7160	650
1375	7164	645
1376	7169	640
1377	7174	635
1378	7180	630
1379	7185	624
1380	7189	619
1381	7194	614
1382	7198	608
1383	7203	603
1384	7209	598
1385	7214	593
1386	7220	588
1387	7225	583
1388	7228	577
1389	7233	572
1390	7238	567
1391	7243	562
1392	7249	556
1393	7254	551
1394	7259	546
1395	7264	541
1396	7270	536
1397	7275	530
1398	7280	525
1399	7285	520
1400	7290	515
1401	7295	509
1402	7300	504
1403	7305	499
1404	7311	494
1405	7316	489
1406	7321	483
1407	7326	478
1408	7331	473
1409	7336	468
1410	7341	463
1411	7346	457
1412	7351	452
1413	7356	447
1414	7359	442
1415	7364	436
1416	7369	431
1417	7373	426
1418	7376	421
1419	7381	415
1420	7386	410
1421	7392	405
1422	7397	400
1423	7402	395
1424	7407	389
1425	7413	384
1426	7416	379
